perfil_id,fecha,numero,clase,lon,lat
6204,2017-03-06,2577,"Epiacuertes típicos, arcillosa fina",-58.45275,-29.023417
5450,1976-11-10,565 C,"",-67,-36.333333
7314,1970-09-15,27/429 C,"",-58.414964,-37.019531
1213,1992-10-21,ER1-83C,Hapludol Fluventico,-59.762167,-32.761948
7175,1971-12-02,12/2403 C,Argialbol ? fina,-59.127286,-37.17296
3590,1977-01-01,414 C,Haplustol éntico,-63.916667,-37.75
3642,1997-06-15,TU C-18,"Ustipsament típico, térmico",-65.388611,-27.379167
6759,1970-08-26,9/1734 C,"",-58.397049,-35.259769
7501,2013-06-24,20,Hapludalfes lamélicos,-57.999944,-28.223278
4027,1966-03-01,4027,"",-62.3,-39.583333
3291,0001-01-01,3291,"Argialbol típico, arcillosa fina",-61.05,-32.33
6547,1972-01-25,3/1266 C,"",-57.391413,-35.270938
7575,1973-12-03,CM4,Ustortent tipico,-64.9865,-24.7013
1858,1997-11-17,ER7-125C,Peluderte árgico,-60.077199,-31.440378
2803,1982-11-14,23/294 C,"Hapludol típico, limosa fina",-58.968039,-38.260668
6114,1971-11-06,1/1999 C,"Argialbol típico, fina",-57.958621,-35.658558
4885,1988-04-28,57,Kandiudalf ródico,-54.471566,-25.986202
686,1966-06-11,10/437 C,Argiudol ácuico,-60.272776,-34.538057
1693,1973-08-23,ER3-56C,Argiudol ácuico,-58.020789,-30.755671
625,1966-11-17,12/789 C,"",-60.771124,-34.373754
6309,1992-02-13,5,Paleacultes,-56.453126,-29.05206
6938,1974-01-18,1/2604 C,Hapludol thapto nátrico,-58.730781,-36.056936
2521,2000-04-25,JM45c,Calciustol típico. franca fina. mixta. térmica,-64.2597,-30.5675
6733,1970-04-28,8/1350 C,"Argiudol petrocálcico, fina",-58.481205,-37.736493
4655,1986-09-17,III-885C,"",-66.210556,-34.506111
978,2006-01-01,978,Torripsamentes tipico,-68.034672,-33.278675
4814,1979-03-29,II 328 C,"",-65.197222,-34.926944
6670,2019-07-02,2822,Epiacultes típicos,-56.488333,-28.547806
